sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.3X.AAV9.01A	0.98	0.0195	0	2	2	2	0	0.0195	0	0
TCGA.3X.AAVA.01A	0.77	0.356	0.227	2	1.85	1.89	0.104	0.252	0.0808	0
TCGA.3X.AAVB.01A	0.49	0.554	0.818	4	3.37	3.69	0.0407	0.514	0	0
TCGA.3X.AAVC.01A	0.75	0.779	0.32	4	3.18	3.38	0.102	0.677	0	0
TCGA.3X.AAVE.01A	0.4	0.267	0.0296	2	1.96	1.99	0.109	0.158	0.00396	0
TCGA.4G.AAZO.01A	0.9	0.237	0.386	4	3.76	3.79	0.0262	0.211	0	0
TCGA.4G.AAZT.01A	0.83	0.528	0.544	6	5.48	5.57	0.0881	0.44	0	0
TCGA.W5.AA2G.01A	0.5	0.48	0.593	4	3.78	3.89	0.191	0.289	0	0
TCGA.W5.AA2H.01A	0.1	0.0626	0.816	2	2	2	0.0395	0.0231	0.0165	0.0165
TCGA.W5.AA2I.01A	0.79	0.369	0.0446	2	1.74	1.8	0.0639	0.305	0.0164	0
TCGA.W5.AA2O.01A	0.73	0.41	0.258	2	1.69	1.77	0.0674	0.343	0.104	0.00193
TCGA.W5.AA2Q.01A	0.96	0.29	0.197	2	2.24	2.23	0.219	0.0716	0.0225	0
TCGA.W5.AA2R.01A	0.53	0.27	0.139	2	1.81	1.9	0.0525	0.218	0	0
TCGA.W5.AA2T.01A	0.94	0.393	0.256	4	3.53	3.56	0.0768	0.316	0	0
TCGA.W5.AA2U.01A	0.79	0.427	0.305	2	1.79	1.84	0.108	0.319	0.129	0
TCGA.W5.AA2W.01A	0.87	0.284	0.385	2	1.94	1.95	0.0917	0.192	0.0811	0
TCGA.W5.AA2X.01A	0.8	0.589	0.443	4	3.28	3.43	0.0747	0.515	0	0
TCGA.W5.AA2Z.01A	0.71	0.272	0.153	2	1.81	1.87	0.0277	0.244	0.0398	0.00173
TCGA.W5.AA30.01A	0.52	0.434	0.704	4	3.67	3.83	0.0953	0.339	0	0
TCGA.W5.AA31.01A	0.58	0.186	0.185	2	2.02	2.01	0.0586	0.128	0	0.0259
TCGA.W5.AA33.01A	0.32	0.182	0.247	2	1.93	1.98	0.0619	0.12	0.00188	0.0131
TCGA.W5.AA34.01A	0.95	0.325	0.393	4	3.67	3.69	0.0721	0.252	0	0
TCGA.W5.AA36.01A	0.83	0.301	0.172	2	1.85	1.87	0.0691	0.232	0.0518	0
TCGA.W5.AA38.01A	0.66	0.424	0.131	2	1.73	1.82	0.0952	0.329	0.0305	0.0251
TCGA.W5.AA39.01A	0.93	0.336	0.224	2	2.15	2.14	0.223	0.113	0.0189	0
TCGA.W6.AA0S.01A	0.76	0.404	0.0485	2	1.73	1.79	0.0804	0.324	0.0196	0
TCGA.WD.A7RX.01A	0.5	0.318	0.915	4	3.39	3.69	0.0194	0.298	0	0
TCGA.YR.A95A.01A	0.77	0.282	0.076	2	1.84	1.88	0.0659	0.216	0.0214	0
TCGA.ZD.A8I3.01A	0.72	0.353	0.0656	2	1.76	1.83	0.00771	0.345	0.0231	0
TCGA.ZH.A8Y1.01A	0.82	0.277	0.179	2	2.02	2.02	0.13	0.147	0.00875	0
TCGA.ZH.A8Y2.01A	0.88	0.64	0.364	4	3.34	3.42	0.167	0.473	0	0
TCGA.ZH.A8Y4.01A	0.84	0.51	0.342	4	3.53	3.61	0.0909	0.419	0	0
TCGA.ZH.A8Y5.01A	0.92	0.462	0.199	2	2.11	2.1	0.224	0.238	0.0556	0
TCGA.ZH.A8Y6.01A	0.85	0.19	0	2	2	2	0.0678	0.122	0	0
TCGA.ZH.A8Y8.01A	0.43	0.403	0.19	2	1.81	1.92	0.0975	0.306	0.0115	0
TCGA.ZU.A8S4.01A	0.21	0.233	0.261	2	1.86	1.97	0.0747	0.158	0.0503	0.00347
