sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.2H.A9GF.01A	0.83	0.491	0.0885	2	1.73	1.77	0.0371	0.454	0.0141	0.0115
TCGA.2H.A9GH.01A	0.7	0.518	0.302	4	3.84	3.89	0.179	0.339	0	0
TCGA.2H.A9GI.01A	0.61	0.779	0.233	2	2.28	2.17	0.501	0.278	0.0256	0.0533
TCGA.2H.A9GJ.01A	0.84	0.653	0.385	4	3.97	3.97	0.248	0.405	0	0
TCGA.2H.A9GK.01A	0.28	0.318	0.136	2	2.08	2.02	0.124	0.194	0.00975	0
TCGA.2H.A9GL.01A	0.76	0.833	0.222	2	2.18	2.14	0.517	0.315	0	0.14
TCGA.2H.A9GM.01A	0.76	0.801	0.17	4	3.57	3.67	0.15	0.652	0	0
TCGA.2H.A9GN.01A	0.81	0.75	0.432	4	3.35	3.47	0.169	0.581	0	0
TCGA.2H.A9GO.01A	0.51	0.769	0.41	4	3.75	3.87	0.253	0.516	0	0
TCGA.2H.A9GQ.01A	0.88	0.576	0.0238	2	1.82	1.85	0.101	0.476	0.00152	0.00152
TCGA.2H.A9GR.01A	0.49	0.49	0.349	4	3.96	3.98	0.228	0.263	0	0
TCGA.IC.A6RE.01A	0.65	0.257	0.349	2	2.08	2.05	0.174	0.083	0	0.0512
TCGA.IC.A6RF.01A	0.62	0.296	0.0426	2	2.03	2.02	0.0772	0.219	0	0.00787
TCGA.IG.A3I8.01A	0.85	0.332	0.486	4	4.13	4.11	0.163	0.17	0	0
TCGA.IG.A3QL.01A	0.83	0.664	0.404	4	3.8	3.83	0.181	0.483	0	0
TCGA.IG.A3Y9.01A	0.2	0.413	0.289	2	2.03	2.01	0.171	0.242	0.0679	0.00367
TCGA.IG.A3YA.01A	0.19	0.319	0.505	2	1.96	1.99	0.102	0.217	0.0949	0.022
TCGA.IG.A3YB.01A	0.65	0.713	0.289	4	3.7	3.81	0.212	0.501	0	0
