sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.3H.AB3K.01A	0.75	0.183	0.107	2	1.89	1.92	0.0445	0.139	0.0196	0
TCGA.3H.AB3L.01A	0.68	0.402	0.55	4	3.49	3.65	0.0692	0.333	0	0
TCGA.3H.AB3M.01A	0.81	0.417	0.2	2	1.68	1.74	0.0363	0.381	0.0835	0
TCGA.3H.AB3O.01A	0.15	0.0449	0.542	2	1.99	2	0.00935	0.0355	0.0112	0.0112
TCGA.3H.AB3S.01A	0.85	0.131	0.0222	2	1.95	1.96	0.035	0.0964	0.00292	0
TCGA.3H.AB3T.01A	0.23	0.0961	0.0714	2	1.96	1.99	0.0343	0.0617	0.00515	0
TCGA.3H.AB3U.01A	0.54	0.693	0.323	2	2.69	2.37	0.575	0.118	0	0
TCGA.3H.AB3X.01A	0.7	0.467	0.0605	2	1.97	1.98	0.213	0.254	0.0282	0
TCGA.3U.A98D.01A	0.62	0.483	0.0878	2	1.71	1.82	0.0812	0.402	0.0166	0
TCGA.3U.A98E.01A	0.85	0.227	0	2	2.04	2.03	0.112	0.115	0	0
TCGA.3U.A98G.01A	0.9	0.0804	0	2	2	2	0.0286	0.0518	0	0
TCGA.3U.A98H.01A	0.33	0.0617	0.438	2	2.01	2	0.0347	0.027	0.00193	0
TCGA.3U.A98I.01A	0.48	0.268	0.0942	2	1.8	1.9	0.035	0.233	0.00389	0.0175
TCGA.3U.A98J.01A	0.47	0.249	0.0377	2	1.92	1.96	0.0986	0.15	0	0
TCGA.LK.A4NW.01A	0.48	0.419	0.504	2	2.02	2.01	0.127	0.292	0.0449	0.0766
TCGA.LK.A4NY.01A	0.75	0.211	0.269	2	1.87	1.9	0.0373	0.173	0.047	0.00324
TCGA.LK.A4NZ.01A	0.2	0.211	0.271	2	2.03	2.01	0.165	0.0458	0.0213	0.00655
TCGA.LK.A4O0.01A	0.25	0.15	0.193	2	1.99	2	0.044	0.106	0.0248	0.00138
TCGA.LK.A4O2.01A	0.48	0.438	0.389	2	1.89	1.95	0.159	0.279	0.062	0.0329
TCGA.LK.A4O4.01A	0.66	0.346	0	2	2	2	0.171	0.175	0	0
TCGA.LK.A4O5.01A	0.63	0.357	0.0194	2	1.9	1.94	0.133	0.224	0.0052	0
TCGA.LK.A4O6.01A	0.2	0.342	0.239	2	1.95	1.99	0.17	0.172	0.0469	0.00868
TCGA.LK.A4O7.01A	0.79	0.41	0.132	2	1.75	1.8	0.0665	0.343	0.0526	0.00155
TCGA.MQ.A4KX.01A	0.22	0.367	0.0923	2	2.07	2.01	0.321	0.0451	0.015	0
TCGA.MQ.A4LC.01A	0.61	0.271	0.103	2	1.91	1.94	0.0933	0.177	0.0261	0
TCGA.MQ.A4LI.01A	0.7	0.67	0.084	2	1.71	1.8	0.209	0.46	0.0457	0.0105
TCGA.MQ.A4LJ.01A	0.69	0.281	0.175	2	1.93	1.95	0.102	0.179	0.0273	0
TCGA.MQ.A4LM.01A	0.2	0.323	0.362	2	1.89	1.98	0.153	0.17	0.0687	0.012
TCGA.MQ.A4LP.01A	0.76	0.371	0.205	2	1.77	1.83	0.0532	0.317	0.0665	0.0076
TCGA.MQ.A4LV.01A	0.22	0.298	0.208	2	1.96	1.99	0.15	0.148	0.0228	0
TCGA.MQ.A6BL.01A	0.24	0.295	0.152	2	1.91	1.98	0.164	0.131	0.028	0
TCGA.MQ.A6BN.01A	0.68	0.356	0.0279	2	1.94	1.96	0.114	0.242	0.00993	0
TCGA.MQ.A6BQ.01A	0.62	0.369	0.0155	2	1.9	1.94	0.153	0.216	0.00382	0
TCGA.MQ.A6BR.01A	0.74	0.934	0.172	2	1.07	1.32	0	0.934	0.157	0.00306
TCGA.MQ.A6BS.01A	0.78	0.397	0.243	2	2.08	2.06	0.213	0.184	0.00507	0.0557
TCGA.NQ.A57I.01A	0.6	0.491	0.13	2	1.86	1.92	0.0961	0.395	0	0.0498
TCGA.NQ.A638.01A	0.72	0.346	0.00922	2	1.89	1.92	0.0845	0.262	0.00319	0
TCGA.SC.A6LM.01A	0.63	0.468	0.00746	2	1.85	1.91	0.129	0.339	0.00175	0
TCGA.SC.A6LN.01A	0.53	0.611	0.167	2	1.68	1.83	0.153	0.458	0.055	0
TCGA.SC.A6LP.01A	0.54	0.934	0.0326	2	1.72	1.85	0.0335	0.901	0	0.0168
TCGA.SC.A6LQ.01A	0.2	0.145	0.212	2	1.96	1.99	0.0529	0.0922	0.0102	0.00171
TCGA.SC.A6LR.01A	0.66	0.368	0.0188	2	2	2	0.112	0.256	0	0
TCGA.SC.AA5Z.01A	0.3	0.691	0.0484	2	1.47	1.84	0.0256	0.665	0.0138	0.0197
TCGA.SH.A7BC.01A	0.47	0.57	0.402	4	3.45	3.74	0.0886	0.482	0	0
TCGA.SH.A7BD.01A	0.87	0.209	0.252	2	1.86	1.88	0.0437	0.166	0.0528	0
TCGA.SH.A7BH.01A	0.87	0.442	0.333	2	1.64	1.69	0.0135	0.428	0.147	0
TCGA.SH.A9CT.01A	0.69	0.444	0.122	2	1.8	1.86	0.114	0.33	0.0521	0.00193
TCGA.SH.A9CU.01A	0.85	0.543	0.252	4	3.42	3.5	0.0867	0.457	0	0
TCGA.TS.A7OU.01B	0.61	0.353	0.0458	2	1.98	1.99	0.178	0.175	0	0
TCGA.TS.A7OY.01A	0.24	0.181	0.266	2	1.87	1.97	0.0367	0.145	0.0444	0
TCGA.TS.A7OZ.01A	0.52	0.309	0.269	2	1.77	1.88	0.0658	0.244	0.0677	0.0116
TCGA.TS.A7P0.01A	0.75	0.426	0.156	2	1.87	1.91	0.104	0.322	0.00151	0.0302
TCGA.TS.A7P1.01A	0.75	0.38	0.00926	2	1.81	1.86	0.132	0.248	0.00352	0
TCGA.TS.A7P3.01A	0.37	0.3	0.00621	2	2.02	2.01	0.237	0.0634	0	0
TCGA.TS.A7P6.01A	0.61	0.503	0.0103	2	1.78	1.87	0.104	0.399	0.00347	0.00173
TCGA.TS.A7P7.01A	0.92	0.308	0.196	2	1.85	1.86	0.0867	0.221	0.0591	0
TCGA.TS.A7P8.01A	0.99	0.209	0	2	1.99	1.99	0.0678	0.141	0	0
TCGA.TS.A7PB.01A	0.59	0.0864	0.0392	2	1.92	1.95	0.00169	0.0847	0.00339	0
TCGA.TS.A8AF.01A	0.63	0.622	0.728	6	5.32	5.57	0.0815	0.541	0	0
TCGA.TS.A8AI.01A	0.48	0.298	0.124	2	1.71	1.86	0.0241	0.274	0.037	0
TCGA.TS.A8AS.01A	0.14	0.233	0.603	2	1.96	1.99	0.105	0.128	0.0836	0.0285
TCGA.TS.A8AV.01A	0.98	0.0616	0	2	2	2	0.0216	0.0399	0	0
TCGA.TS.A8AY.01A	0.6	0.318	0.0806	2	1.69	1.81	0.0137	0.304	0.0256	0
TCGA.UD.AABY.01A	0.63	0.114	0.0833	2	1.94	1.96	0.0304	0.0835	0.00949	0
TCGA.UD.AABZ.01A	0.64	0.452	0.0618	2	1.82	1.89	0.151	0.301	0.028	0
TCGA.UD.AAC1.01A	0.81	0.879	0.345	2	1.07	1.25	0	0.879	0.303	0
TCGA.UD.AAC4.01A	0.65	0.106	0.0952	2	1.96	1.98	0.0201	0.0854	0	0.00168
TCGA.UD.AAC5.01A	0.8	0.345	0.135	2	1.91	1.93	0.063	0.282	0.00829	0
TCGA.UD.AAC6.01A	0.46	0.223	0.356	2	2.1	2.05	0.135	0.0877	0	0
TCGA.UD.AAC7.01A	0.67	0.299	0.0298	2	1.76	1.84	0.0267	0.273	0.00357	0.00178
TCGA.UT.A88C.01B	0.19	0.108	0.343	2	2.05	2.01	0.0485	0.0599	0.00162	0.00324
TCGA.UT.A88D.01B	0.21	0.0591	0.306	2	1.94	1.99	0.00821	0.0509	0.0115	0.00164
TCGA.UT.A88E.01B	0.91	0.327	0.0108	2	1.91	1.92	0.102	0.225	0	0
TCGA.UT.A88G.01B	0.89	0.715	0.31	4	2.82	2.95	0.0158	0.699	0	0
TCGA.UT.A97Y.01A	0.19	0.232	0.366	2	1.87	1.97	0.0762	0.156	0.0638	0.00887
TCGA.XT.AASU.01A	0.23	0.101	0.176	2	1.9	1.98	0.0192	0.0814	0.0104	0
TCGA.YS.A95B.01A	0.79	0.281	0.137	2	1.97	1.98	0.0974	0.184	0.0257	0
TCGA.YS.A95C.01A	0.72	0.392	0.687	4	4.11	4.08	0.207	0.185	0	0
TCGA.YS.AA4M.01A	0.14	0.0477	0.759	2	2	2	0.023	0.0247	0.00493	0.028
TCGA.ZN.A9VO.01A	0.74	0.323	0.0909	2	1.85	1.89	0.0933	0.23	0.0294	0
TCGA.ZN.A9VP.01A	0.68	0.399	0.302	2	1.98	1.99	0.128	0.272	0.0468	0.0306
TCGA.ZN.A9VQ.01A	0.94	0.293	0.248	2	1.89	1.9	0.086	0.207	0.0727	0
TCGA.ZN.A9VS.01A	0.71	0.22	0.0741	2	1.87	1.91	0.0179	0.202	0.0163	0
TCGA.ZN.A9VU.01A	0.59	0.257	0.0923	2	1.94	1.97	0.113	0.144	0.0217	0.00198
TCGA.ZN.A9VV.01A	0.99	0.191	0.0102	2	2	2	0.104	0.0879	0.00195	0
TCGA.ZN.A9VW.01A	0.61	0.23	0.0806	2	1.92	1.95	0.0631	0.167	0.00186	0.0148
