sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.2J.AAB1.01A	0.34	0.168	0.326	2	1.92	1.97	0.0312	0.136	0.0526	0.00195
TCGA.2J.AAB4.01A	0.25	0.0697	0.425	2	1.97	1.99	0.0157	0.054	0.0244	0
TCGA.2J.AAB6.01A	0.61	0.419	0.0343	2	1.87	1.92	0.0755	0.344	0.0036	0.0054
TCGA.2J.AAB8.01A	0.21	0.266	0.426	2	1.9	1.98	0.0508	0.215	0.041	0.0469
TCGA.2J.AAB9.01A	0.14	0.0792	0.585	2	2.03	2	0.0541	0.0251	0.0251	0.0116
TCGA.2J.AABA.01A	0.29	0.0846	0.0667	2	1.95	1.99	0.0169	0.0677	0.00376	0
TCGA.2J.AABE.01A	0.23	0.0715	0.209	2	2	2	0.025	0.0466	0.0116	0
TCGA.2J.AABF.01A	0.17	0.242	0.477	2	1.9	1.98	0.0539	0.188	0.0743	0.0167
TCGA.2J.AABH.01A	0.47	0.311	0.416	2	1.77	1.89	0.0337	0.277	0.118	0
TCGA.2J.AABI.01A	0.7	0.334	0.0526	2	1.71	1.8	0.0312	0.303	0.00586	0
TCGA.2J.AABK.01A	0.16	0.109	0.571	2	1.97	2	0.0252	0.0833	0.0271	0.0252
TCGA.2J.AABO.01A	0.38	0.412	0.591	4	3.82	3.93	0.134	0.278	0	0
TCGA.2J.AABP.01A	0.43	0.638	0.444	2	2.62	2.27	0.511	0.128	0	0.0816
TCGA.2J.AABR.01A	0.81	0.348	0	2	2	2	0.174	0.174	0	0
TCGA.2J.AABT.01A	0.21	0.28	0.331	2	2.01	2	0.155	0.125	0.0523	0.00201
TCGA.2J.AABU.01A	0.5	0.385	0.173	2	1.76	1.88	0.084	0.302	0.0267	0.0115
TCGA.2J.AABV.01A	0.69	0.134	0.0145	2	2	2	0.0524	0.0816	0	0
TCGA.2L.AAQA.01A	0.56	0.216	0.114	2	1.84	1.91	0.0351	0.181	0	0
TCGA.2L.AAQE.01A	0.49	0.248	0.631	4	3.68	3.84	0.0351	0.213	0	0
TCGA.2L.AAQI.01A	0.22	0.248	0.133	2	1.9	1.98	0.0846	0.164	0.0165	0
TCGA.2L.AAQJ.01A	0.29	0.328	0.113	2	2.06	2.02	0.228	0.1	0.013	0
TCGA.2L.AAQL.01A	0.2	0.203	0.328	2	2.07	2.01	0.07	0.133	0.0324	0.00512
TCGA.2L.AAQM.01A	0.9	0.594	0.646	2	1.4	1.46	0.0289	0.565	0.384	0
TCGA.3A.A9I5.01A	0.23	0.222	0.27	2	2.12	2.03	0.131	0.0917	0.00882	0
TCGA.3A.A9I7.01A	0.99	0.382	0	2	1.99	1.99	0.138	0.244	0	0
TCGA.3A.A9I9.01A	0.69	0.11	0.0247	2	1.98	1.99	0.0163	0.0935	0	0
TCGA.3A.A9IB.01A	0.23	0.288	0.298	2	2.04	2.01	0.141	0.147	0.0388	0
TCGA.3A.A9IC.01A	0.25	0.148	0.39	2	1.95	1.99	0.038	0.11	0.0199	0.0307
TCGA.3A.A9IH.01A	0.47	0.171	0.00735	2	2	2	0.102	0.0691	0	0
TCGA.3A.A9IJ.01A	0.82	0.0122	0	2	2	2	0.00306	0.00917	0	0
TCGA.3A.A9IL.01A	0.91	0.496	0.0831	2	1.61	1.64	0	0.496	0.0412	0
TCGA.3A.A9IR.01A	0.24	0.0851	0.0208	2	1.88	1.97	0.00532	0.0798	0.00177	0
TCGA.3A.A9IU.01A	0.75	0.18	0	2	1.88	1.91	0.0168	0.163	0	0
TCGA.3A.A9IV.01A	0.91	0.581	0.39	2	1.44	1.49	0.0017	0.579	0.227	0
TCGA.3A.A9IX.01A	0.98	0.0315	0.458	2	2	2	0.00524	0.0262	0	0.0144
TCGA.3A.A9IZ.01A	0.57	0.251	0.134	2	1.82	1.9	0.0236	0.227	0.0101	0.0101
TCGA.3E.AAAY.01A	0.99	0.164	0	2	1.99	1.99	0.0405	0.123	0	0
TCGA.3E.AAAZ.01A	0.33	0.362	0.124	2	1.81	1.94	0.0935	0.268	0.0108	0
TCGA.F2.6879.01A	0.62	0.211	0.0211	2	1.81	1.88	0.0252	0.185	0	0
TCGA.F2.6880.01A	0.05	0	NaN	2	2.01	2	0	0	0	0
TCGA.F2.7276.01A	0.62	0.0383	0	2	2	2	0.00683	0.0314	0	0
TCGA.F2.A44G.01A	0.18	0.536	0.0366	2	1.8	1.96	0.2	0.336	0.0157	0
TCGA.F2.A44H.01A	0.14	0.602	0.542	2	2.02	2	0.327	0.276	0.213	0.0476
TCGA.F2.A7TX.01A	0.18	0.171	0.402	2	1.9	1.98	0.0138	0.157	0.0306	0.0367
TCGA.F2.A8YN.01A	0.77	0.22	0	2	1.83	1.87	0.00431	0.216	0	0
TCGA.FB.A4P5.01A	0.06	0.403	0.991	2	2.04	2	0.264	0.138	0.191	0.254
TCGA.FB.A4P6.01A	0.54	0.165	0	2	1.99	1.99	0.051	0.114	0	0
TCGA.FB.A545.01A	0.66	0.569	0.314	4	3.49	3.66	0.129	0.44	0	0
TCGA.FB.A5VM.01A	0.23	0.48	0.207	2	1.97	1.99	0.234	0.246	0.0664	0.00781
TCGA.FB.A78T.01A	0.54	0.294	0.271	2	1.91	1.95	0.102	0.192	0.0436	0.0361
TCGA.FB.A7DR.01A	0.99	0.342	0	2	1.98	1.98	0.0957	0.246	0	0
TCGA.FB.AAPP.01A	0.86	0.293	0.408	4	4.14	4.12	0.125	0.168	0	0
TCGA.FB.AAPQ.01A	0.44	0.232	0.303	2	1.85	1.93	0.0419	0.19	0.0552	0
TCGA.FB.AAPS.01A	0.92	0.0573	0	2	2	2	0.0215	0.0358	0	0
TCGA.FB.AAPU.01A	0.73	0.436	0.119	2	1.9	1.93	0.104	0.333	0.0314	0
TCGA.FB.AAPY.01A	0.23	0.221	0.179	2	1.87	1.97	0.0671	0.154	0.0335	0
TCGA.FB.AAPZ.01A	0.8	0.42	0.00417	2	1.76	1.81	0.063	0.357	0	0
TCGA.FB.AAQ0.01A	0.68	0.423	0.32	4	3.87	3.91	0.114	0.309	0	0
TCGA.FB.AAQ1.01A	0.37	0.419	0.738	4	3.63	3.86	0.0744	0.344	0.00196	0
