sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.P7.A5NY.01A	0.77	0.363	0.00495	2	1.98	1.99	0.124	0.239	0.0018	0
TCGA.P8.A5KC.01A	0.76	0.159	0	2	2	2	0.0883	0.0703	0	0
TCGA.P8.A5KD.01A	0.82	0.235	0.0942	2	1.93	1.94	0.0785	0.157	0.0222	0
TCGA.P8.A6RX.01A	0.69	0.321	0.0497	2	1.85	1.9	0.0728	0.249	0.016	0
TCGA.P8.A6RY.01A	0.94	0.0646	0.889	2	1.93	1.94	0	0.0646	0.0575	0
TCGA.PR.A5PF.01A	0.76	0.584	0.00327	2	1.86	1.9	0.345	0.239	0.00191	0
TCGA.PR.A5PG.01A	0.84	0.263	0.124	2	1.95	1.96	0.0883	0.175	0.0326	0
TCGA.PR.A5PH.01A	0.72	0.126	0.111	2	1.92	1.94	0.0209	0.105	0.014	0
TCGA.QR.A6GO.01A	0.73	0.392	0.00913	2	1.92	1.94	0.203	0.19	0.00358	0
TCGA.QR.A6GR.01A	0.69	0.133	0.221	2	1.93	1.95	0.0391	0.0939	0.0294	0
TCGA.QR.A6GS.01A	0.79	0.138	0.152	2	1.92	1.94	0.028	0.11	0.021	0
TCGA.QR.A6GT.01A	0.55	0.204	0.112	2	1.82	1.9	0.021	0.183	0.00382	0
TCGA.QR.A6GU.01A	0.82	0.222	0.053	2	1.93	1.94	0.0975	0.124	0.0118	0
TCGA.QR.A6GX.01A	0.79	0.476	0.701	4	3.73	3.79	0.0853	0.391	0	0
TCGA.QR.A6GY.01A	0.83	0.204	0.301	2	1.92	1.93	0.0652	0.138	0.0613	0
TCGA.QR.A6GZ.01A	0.6	0.418	0.628	4	3.61	3.77	0.0507	0.368	0	0
TCGA.QR.A6H0.01A	0.41	0.138	0.0278	2	2	2	0.106	0.0326	0.00192	0
TCGA.QR.A6H1.01A	0.78	0.21	0.00893	2	1.96	1.97	0.0993	0.11	0.00187	0
TCGA.QR.A6H2.01A	0.81	0.214	0.0517	2	1.93	1.95	0.0645	0.149	0.011	0
TCGA.QR.A6H3.01A	0.51	0.172	0.149	2	1.92	1.96	0.0569	0.116	0.0257	0
TCGA.QR.A6H5.01A	0.5	0.331	0.0361	2	1.87	1.93	0.0956	0.235	0.0119	0
TCGA.QR.A6H6.01A	0.7	0.182	0.0103	2	1.88	1.91	0.0319	0.15	0	0
TCGA.QR.A6ZZ.01A	0.58	0.255	0.148	2	1.92	1.95	0.0718	0.183	0.0154	0
TCGA.QR.A700.01A	0.91	0.424	0.138	2	1.73	1.75	0.0127	0.411	0.0584	0
TCGA.QR.A702.01A	0.91	0.223	0.353	2	1.87	1.89	0.0558	0.167	0.0788	0
TCGA.QR.A703.01A	0.71	0.366	0.11	2	1.79	1.85	0.0543	0.312	0.0402	0
TCGA.QR.A705.01A	0.76	0.244	0	2	1.88	1.91	0.0354	0.209	0	0
TCGA.QR.A707.01A	0.89	0.291	0.112	2	1.91	1.92	0.0568	0.234	0.0207	0
TCGA.QR.A708.01A	0.54	0.444	0.245	4	3.48	3.72	0.0955	0.348	0	0
TCGA.QR.A70A.01A	0.85	0.205	0.14	2	1.9	1.92	0.0365	0.169	0.0288	0
TCGA.QR.A70C.01A	0.13	0.0922	0.698	2	1.99	2	0.047	0.0452	0.0383	0.0087
TCGA.QR.A70D.01A	0.71	0.291	0.00552	2	1.93	1.95	0.101	0.19	0	0
TCGA.QR.A70E.01A	0.85	0.228	0.259	2	1.9	1.91	0.0472	0.181	0.057	0.00196
TCGA.QR.A70G.01B	0.19	0.116	0.203	2	1.96	1.99	0.0531	0.0625	0.00781	0.00312
TCGA.QR.A70I.01A	0.6	0.129	0.039	2	1.99	1.99	0.0452	0.0836	0.00502	0
TCGA.QR.A70J.01A	0.33	0.0398	0.136	2	1.99	2	0.0108	0.0289	0.00542	0
TCGA.QR.A70K.01A	0.94	0.344	0.423	2	1.86	1.86	0.112	0.232	0.143	0
TCGA.QR.A70M.01A	0.9	0.389	0.0679	2	1.91	1.92	0.15	0.239	0.0229	0
TCGA.QR.A70N.01A	0.66	0.277	0.437	4	3.65	3.77	0.0432	0.234	0	0
TCGA.QR.A70O.01A	0.89	0.348	0.0891	2	1.86	1.87	0.0828	0.266	0.031	0
TCGA.QR.A70P.01A	0.85	0.429	0.0864	2	1.94	1.95	0.22	0.208	0.037	0
TCGA.QR.A70R.01A	0.69	0.509	0.00331	2	1.83	1.88	0.15	0.359	0.00169	0
TCGA.QR.A70T.01A	0.93	0.199	0.171	2	1.95	1.96	0.0985	0.1	0.034	0
TCGA.QR.A70U.01A	0.85	0.136	0.225	2	1.91	1.92	0	0.136	0.0306	0
TCGA.QR.A70V.01A	0.97	0.132	0.513	2	1.88	1.88	0	0.132	0.0676	0
TCGA.QR.A70W.01A	0.92	0.222	0.255	2	1.88	1.89	0.0505	0.172	0.0536	0.00306
TCGA.QR.A70X.01A	0.52	0.241	0.00746	2	1.93	1.96	0.0844	0.156	0.0018	0
TCGA.QR.A7IN.01A	0.79	0.402	0.0437	4	3.98	3.98	0.26	0.142	0	0
TCGA.QR.A7IP.01A	0.84	0.304	0.175	4	3.68	3.73	0.0361	0.268	0	0
TCGA.QT.A5XJ.01A	0.95	0.201	0.403	2	1.84	1.85	0.0217	0.179	0.081	0
TCGA.QT.A5XK.01A	0.72	0.189	0.257	2	1.82	1.87	0.00502	0.184	0.0485	0
TCGA.QT.A5XL.01A	0.27	0.101	0.15	2	1.83	1.96	0.00676	0.0946	0.0135	0
TCGA.QT.A5XM.01A	0.67	0.155	0.0288	2	1.91	1.94	0.0208	0.134	0	0.00446
TCGA.QT.A5XN.01A	0.94	0.262	0.156	2	1.82	1.83	0.0131	0.249	0.0409	0
TCGA.QT.A5XO.01A	0.85	0.139	0.337	2	1.89	1.91	0.00753	0.131	0.0467	0
TCGA.QT.A5XP.01A	0.64	0.199	0.0672	2	1.93	1.96	0.057	0.142	0.0134	0
TCGA.QT.A69Q.01A	0.83	0.876	0.209	4	2.88	3.07	0.00591	0.87	0	0
TCGA.QT.A7U0.01A	0.67	0.156	0	2	2.01	2.01	0.0743	0.0818	0	0
TCGA.RM.A68T.01A	0.61	0.235	0.0621	2	1.85	1.91	0.0388	0.196	0.0146	0
TCGA.RM.A68W.01A	0.47	0.265	0.109	2	2.02	2.01	0.128	0.137	0	0
TCGA.RT.A6Y9.01A	0.84	0.107	0.203	2	1.92	1.93	0.00836	0.0987	0.0217	0
TCGA.RT.A6YA.01A	0.92	0.244	0.238	4	3.84	3.86	0.0581	0.186	0	0
TCGA.RT.A6YC.01A	0.69	0.162	0.136	2	1.96	1.97	0.0498	0.113	0.0166	0
TCGA.RW.A67V.01A	0.97	0.183	0.106	2	1.95	1.96	0.0757	0.107	0.0141	0.00528
TCGA.RW.A67W.01A	0.74	0.418	0.013	2	1.88	1.91	0.165	0.254	0.00543	0
TCGA.RW.A67X.01A	0.22	0.0407	0.44	2	1.99	2	0.00325	0.0374	0.0179	0
TCGA.RW.A67Y.01A	0.98	0.147	0.69	2	1.85	1.86	0	0.147	0.101	0
TCGA.RW.A680.01A	0.71	0.195	0.049	2	1.92	1.94	0.0573	0.137	0.00763	0
TCGA.RW.A681.01A	0.99	0.0631	0	2	2.01	2.01	0.00587	0.0573	0	0
TCGA.RW.A684.01A	0.77	0.288	0.0377	2	1.95	1.96	0.123	0.165	0.0109	0
TCGA.RW.A685.01A	0.65	0.252	0.0274	2	1.92	1.95	0.0397	0.212	0.00691	0
TCGA.RW.A686.01A	0.75	0.154	0.102	2	1.95	1.96	0.0596	0.0947	0.0158	0
TCGA.RW.A686.06A	0.62	0.0491	0.0357	2	1.95	1.97	0	0.0491	0.00175	0
TCGA.RW.A688.01A	0.96	0.188	0.699	4	3.99	3.99	0.0982	0.0899	0	0
TCGA.RW.A689.01A	0.67	0.161	0	2	1.87	1.91	0.0219	0.139	0	0
TCGA.RW.A68A.01A	0.8	0.319	0.0893	2	1.73	1.78	0.038	0.281	0.0285	0
TCGA.RW.A68B.01A	0.87	0.226	0.129	2	1.96	1.97	0.109	0.117	0.0292	0
TCGA.RW.A68C.01A	0.2	0.321	0.0837	2	1.6	1.92	0.0791	0.242	0.019	0.00158
TCGA.RW.A68D.01A	0.75	0.303	0.0263	2	2.07	2.05	0.198	0.106	0.002	0
TCGA.RW.A68F.01A	0.84	0.456	0.00366	2	2.01	2	0.225	0.23	0	0
TCGA.RW.A68G.01A	0.71	0.207	0.111	2	1.96	1.97	0.0691	0.138	0.0124	0.0106
TCGA.RW.A7CZ.01A	0.58	0.207	0	2	1.95	1.97	0.0542	0.153	0	0
TCGA.RW.A7D0.01A	0.63	0.208	0.164	2	1.91	1.94	0.0379	0.17	0.017	0.017
TCGA.RW.A8AZ.01A	0.86	0.231	0.126	2	1.94	1.95	0.0964	0.135	0.0291	0
TCGA.RX.A8JQ.01A	0.73	0.114	0.185	2	2	2	0.0369	0.0773	0	0
TCGA.S7.A7WL.01A	0.86	0.51	0.0293	2	1.93	1.94	0.277	0.234	0.015	0
TCGA.S7.A7WM.01A	0.79	0.203	0.17	2	1.91	1.93	0.0527	0.15	0.0345	0
TCGA.S7.A7WN.01A	0.72	0.263	0.0393	2	1.93	1.95	0.0518	0.212	0.00444	0.00592
TCGA.S7.A7WO.01A	0.09	0.115	0.949	2	2	2	0.0547	0.0605	0.082	0.0137
TCGA.S7.A7WP.01A	0.76	0.145	0	2	1.89	1.92	0.00431	0.141	0	0
TCGA.S7.A7WQ.01A	0.71	0.547	0.0273	2	1.86	1.9	0.254	0.294	0.0149	0
TCGA.S7.A7WR.01A	0.86	0.255	0.507	2	1.74	1.77	0	0.255	0.129	0
TCGA.S7.A7WT.01A	0.63	0.172	0.128	2	1.9	1.94	0.046	0.126	0.022	0
TCGA.S7.A7WU.01A	0.82	0.447	0.0609	2	1.94	1.95	0.181	0.267	0.0272	0
TCGA.S7.A7WV.01A	0.99	0.173	0	2	2	2	0.0556	0.117	0	0
TCGA.S7.A7WW.01A	0.7	0.236	0.298	2	2.03	2.02	0.0668	0.17	0.0162	0
TCGA.S7.A7WX.01A	0.8	0.325	0.126	2	1.9	1.92	0.125	0.2	0.0411	0
TCGA.S7.A7X0.01A	0.21	0.467	0.137	2	1.77	1.95	0.217	0.25	0.0449	0
TCGA.S7.A7X1.01A	0.65	0.288	0.0115	2	1.84	1.9	0.0381	0.25	0.00331	0
TCGA.S7.A7X2.01A	0.71	0.155	0.123	2	1.89	1.92	0.0248	0.13	0.0191	0
TCGA.SA.A6C2.01A	0.77	0.245	0	2	2	2	0.101	0.143	0	0
TCGA.SP.A6QC.01A	0.66	0.249	0.087	2	1.9	1.94	0.0325	0.217	0.0199	0
TCGA.SP.A6QD.01A	0.82	0.12	0.215	2	1.98	1.99	0.037	0.0833	0.0111	0.0037
TCGA.SP.A6QF.01A	0.69	0.141	0.0253	2	1.93	1.95	0.0391	0.101	0.00356	0
TCGA.SP.A6QG.01A	0.89	0.259	0.218	2	1.81	1.83	0.0138	0.245	0.0565	0
TCGA.SP.A6QH.01A	0.18	0.312	0.291	2	1.82	1.97	0.115	0.197	0.0485	0.00303
TCGA.SP.A6QI.01A	0.86	0.182	0.09	2	1.91	1.92	0.04	0.142	0.0164	0
TCGA.SP.A6QJ.01A	0.9	0.125	0.17	2	1.9	1.91	0.00284	0.122	0.0213	0
TCGA.SP.A6QK.01A	0.61	0.249	0.0569	2	1.89	1.93	0.0548	0.195	0.0142	0
TCGA.SQ.A6I4.01A	0.54	0.073	0.125	2	1.92	1.96	0	0.073	0.00912	0
TCGA.SQ.A6I6.01A	0.83	0.191	0	2	1.85	1.87	0.0197	0.172	0	0
TCGA.SR.A6MP.01A	0.77	0.33	0.0919	2	1.88	1.91	0.105	0.225	0.0303	0
TCGA.SR.A6MQ.01A	0.76	0.187	0.0102	2	1.82	1.87	0.0115	0.176	0.00191	0
TCGA.SR.A6MR.01A	0.64	0.307	0.125	2	1.93	1.96	0.15	0.157	0.0134	0.025
TCGA.SR.A6MS.01A	0.82	0.281	0.0848	2	1.98	1.99	0.0748	0.206	0.0017	0.0085
TCGA.SR.A6MT.01A	0.5	0.517	0.156	2	2.96	2.48	0.471	0.0462	0	0
TCGA.SR.A6MU.01A	0.85	0.286	0.292	4	3.87	3.89	0.087	0.199	0	0
TCGA.SR.A6MX.01A	0.8	0.947	0.173	4	3.82	3.85	0.723	0.223	0	0
TCGA.SR.A6MX.06A	0.79	0.387	0.413	2	1.74	1.79	0.0672	0.32	0.158	0
TCGA.SR.A6MY.01A	0.71	0.142	0.173	2	1.85	1.89	0	0.142	0.0247	0
TCGA.SR.A6MZ.01A	0.15	0.419	0.341	2	1.62	1.94	0.0707	0.349	0.0789	0.0329
TCGA.SR.A6N0.01A	0.53	0.252	0.185	2	1.97	1.99	0.0636	0.189	0.0206	0
TCGA.TT.A6YJ.01A	0.94	0.156	0.744	2	1.85	1.86	0.00363	0.152	0.116	0
TCGA.TT.A6YK.01A	0.73	0.297	0.243	4	3.83	3.88	0.0602	0.237	0	0
TCGA.TT.A6YN.01A	0.88	0.183	0.26	2	1.91	1.92	0.0553	0.128	0.0477	0
TCGA.TT.A6YO.01A	0.99	0.0986	0	2	2	2	0.0306	0.068	0	0
TCGA.TT.A6YP.01A	0.49	0.284	0	2	1.86	1.93	0.113	0.171	0	0
TCGA.W2.A7H5.01B	0.81	0.517	0.145	4	3.51	3.6	0.141	0.375	0	0
TCGA.W2.A7H7.01A	0.71	0.204	0.0522	2	1.81	1.86	0.0124	0.192	0.0107	0
TCGA.W2.A7HB.01A	0.21	0.167	0.0275	2	1.57	1.91	0.0138	0.153	0.00153	0
TCGA.W2.A7UY.01A	0.85	0.372	0.388	2	1.76	1.79	0.0593	0.312	0.138	0.00593
TCGA.WB.A80K.01A	0.67	0.29	0.0577	2	1.98	1.98	0.039	0.251	0.00558	0.0112
TCGA.WB.A80L.01A	0.82	0.634	0.182	2	2.26	2.21	0.383	0.25	0	0.102
TCGA.WB.A80M.01A	0.9	0.544	0.0935	2	1.86	1.88	0.235	0.309	0.0509	0
TCGA.WB.A80N.01A	0.73	0.22	0	2	1.91	1.93	0.0848	0.135	0	0
TCGA.WB.A80O.01A	0.65	0.272	0.0968	2	1.91	1.94	0.0737	0.198	0.0228	0
TCGA.WB.A80P.01A	0.78	0.156	0.0526	2	1.95	1.96	0.0574	0.0984	0.00492	0.00328
TCGA.WB.A80Q.01A	0.14	0.0969	0.63	2	2	2	0.0251	0.0718	0.0269	0.0126
TCGA.WB.A80V.01A	0.9	0.277	0.465	2	1.76	1.79	0.025	0.252	0.129	0
TCGA.WB.A80Y.01A	0.84	0.306	0.123	2	1.92	1.94	0.132	0.174	0.0375	0
TCGA.WB.A814.01A	0.54	0.363	0.0155	2	1.91	1.95	0.171	0.192	0.00564	0
TCGA.WB.A815.01A	0.73	0.35	0.25	2	1.89	1.92	0.127	0.223	0.0596	0.00795
TCGA.WB.A816.01A	0.56	0.185	0.107	2	1.87	1.93	0.0412	0.143	0.0197	0
TCGA.WB.A817.01A	0.56	0.0607	0.176	2	2	2	0.0143	0.0464	0	0.0107
TCGA.WB.A818.01A	0.78	0.0952	0.189	2	1.9	1.92	0	0.0952	0.018	0
TCGA.WB.A819.01A	0.61	0.339	0.319	4	3.66	3.8	0.0639	0.275	0	0
TCGA.WB.A81A.01A	0.96	0.369	0.424	4	4.31	4.3	0.231	0.138	0	0
TCGA.WB.A81D.01A	0.85	0.129	0.0851	2	1.94	1.95	0.0261	0.103	0.011	0
TCGA.WB.A81E.01A	0.78	0.208	0.0702	2	1.88	1.9	0.0401	0.168	0.0146	0
TCGA.WB.A81F.01A	0.77	0.292	0.197	2	1.88	1.91	0.0962	0.196	0.0577	0
TCGA.WB.A81G.01A	0.65	0.211	0.277	2	1.93	1.96	0.0373	0.174	0.0124	0.0462
TCGA.WB.A81H.01A	0.34	0.299	0.0373	2	2.02	2.01	0.251	0.0483	0	0
TCGA.WB.A81I.01A	0.95	0.0656	0.306	2	1.97	1.97	0.0273	0.0383	0.02	0
TCGA.WB.A81J.01A	0.93	0.257	0.113	2	2	2	0.112	0.145	0.0289	0
TCGA.WB.A81K.01A	0.72	0.17	0.0638	2	1.83	1.88	0.00725	0.163	0.0109	0
TCGA.WB.A81M.01A	0.95	0.516	0.0842	2	1.93	1.93	0.229	0.287	0.0435	0
TCGA.WB.A81N.01A	0.76	0.134	0	2	1.95	1.96	0.0387	0.0952	0	0
TCGA.WB.A81P.01A	0.76	0.177	0.0098	2	1.91	1.93	0.0625	0.115	0.00174	0
TCGA.WB.A81Q.01A	0.89	0.363	0.16	2	1.93	1.94	0.161	0.202	0.0542	0.00374
TCGA.WB.A81R.01A	0.88	0.164	0.456	2	1.83	1.85	0	0.164	0.0745	0
TCGA.WB.A81S.01A	0.85	0.426	0.243	4	3.69	3.74	0.168	0.258	0	0
TCGA.WB.A81T.01A	0.67	0.257	0.0979	2	1.88	1.92	0.0612	0.196	0.00899	0.0162
TCGA.WB.A81V.01A	0.71	0.346	0.0936	2	1.91	1.94	0.131	0.215	0.0221	0
TCGA.WB.A81W.01A	0.81	0.224	0.0147	2	1.88	1.9	0.0363	0.188	0	0.0033
TCGA.WB.A820.01A	0.72	0.298	0.0216	2	1.81	1.87	0.0468	0.252	0.00645	0
TCGA.WB.A821.01A	0.75	0.468	0.289	4	4.28	4.21	0.319	0.149	0	0
TCGA.WB.A822.01A	0.56	0.22	0.0794	2	1.89	1.94	0.0454	0.175	0.0175	0
TCGA.XG.A823.01A	0.56	0.178	0.167	2	1.93	1.96	0.0539	0.125	0.0297	0
