sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.3B.A9HI.01A	0.68	0.541	0.233	4	3.87	3.91	0.196	0.345	0	0
TCGA.3B.A9HJ.01A	0.1	0.0515	0.935	2	2.02	2	0.0316	0.0199	0.0349	0.00498
TCGA.3B.A9HL.01A	0.82	0.267	0.106	2	1.96	1.97	0.0597	0.207	0.0182	0
TCGA.3B.A9HP.01A	0.77	0.251	0.0889	2	1.99	1.99	0.101	0.151	0	0.0186
TCGA.3B.A9HQ.01A	0.89	0.281	0.518	4	3.87	3.88	0.105	0.176	0	0
TCGA.3B.A9HR.01A	0.99	0.713	0.297	4	3.37	3.37	0.114	0.599	0	0.102
TCGA.3B.A9HS.01A	0.67	0.517	0.25	4	4.01	4.01	0.174	0.342	0	0
TCGA.3B.A9HT.01A	0.34	0.133	0.703	2	2.02	2.01	0.0757	0.0577	0.0018	0.0865
TCGA.3B.A9HU.01A	0.6	0.268	0.039	2	1.76	1.86	0.0278	0.24	0.0104	0
TCGA.3B.A9HV.01A	0.88	0.18	0.0455	2	1.94	1.95	0.0426	0.137	0	0
TCGA.3B.A9HX.01A	0.8	0.369	0.0382	2	1.85	1.88	0.0535	0.315	0	0.00141
TCGA.3B.A9HY.01A	0.88	0.23	0.356	2	1.8	1.82	0.0209	0.209	0.0803	0
TCGA.3B.A9HZ.01A	0.67	0.374	0.136	2	1.84	1.89	0.138	0.236	0.051	0
TCGA.3B.A9I0.01A	0.94	0.147	0.162	2	1.88	1.89	0.00733	0.139	0.0238	0
TCGA.3B.A9I1.01A	0.99	0.252	0.0886	2	1.9	1.9	0.0319	0.22	0.0144	0
TCGA.3R.A8YX.01A	0.85	0.404	0.288	4	3.73	3.77	0.0638	0.34	0	0
TCGA.DX.A1KU.01A	0.57	0.512	0.0629	2	2.07	2.04	0.225	0.287	0	0.00805
TCGA.DX.A1KW.01A	0.84	0.611	0.386	4	3.87	3.89	0.244	0.366	0	0
TCGA.DX.A1KX.01A	0.77	0.783	0.375	4	3.62	3.71	0.202	0.581	0	0
TCGA.DX.A1KY.01A	0.84	0.899	0.178	2	2.02	2.02	0.343	0.556	0.0535	0.0792
