sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.2G.AAEW.01A	0.58	0.372	0.565	4	3.83	3.9	0.11	0.262	0	0
TCGA.2G.AAEX.01A	0.48	0.696	0.504	4	4.01	4	0.163	0.534	0	0.00198
TCGA.2G.AAF1.01A	0.11	0.212	0.698	2	1.94	1.99	0.0525	0.159	0.0755	0.0443
TCGA.2G.AAF4.01A	0.23	0.381	0.128	2	1.34	1.85	0.0393	0.341	0.0299	0
TCGA.2G.AAF6.01A	0.6	0.44	0.227	2	2.13	2.08	0.267	0.174	0	0.0151
TCGA.2G.AAF8.01A	0.56	0.428	0.0817	2	2.15	2.09	0.306	0.121	0	0
TCGA.2G.AAFE.01A	0.62	0.667	0.567	4	3.87	3.92	0.325	0.342	0	0
TCGA.2G.AAFG.01A	0.19	0.558	0.228	2	1.96	1.99	0.264	0.294	0.0196	0.0881
TCGA.2G.AAFH.01A	0.55	0.408	0.139	2	2.08	2.04	0.25	0.159	0	0.0113
TCGA.2G.AAFI.01A	0.81	0.403	0.318	2	2.13	2.11	0.189	0.215	0	0.0692
TCGA.2G.AAFJ.01A	0.88	0.561	0.243	4	3.7	3.73	0.114	0.446	0	0.0202
TCGA.2G.AAFM.01A	0.39	0.635	0.361	4	4.09	4.04	0.306	0.328	0	0.00734
TCGA.2G.AAFN.01A	0.89	0.904	0.326	4	3.09	3.19	0.0963	0.807	0	0
TCGA.2G.AAFO.01A	0.28	0.462	0.456	2	2.05	2.01	0.201	0.261	0.0312	0.0994
TCGA.2G.AAFV.01A	0.66	0.746	0.0781	2	2.03	2.02	0.282	0.464	0.0155	0.035
TCGA.2G.AAFY.01A	0.16	0.473	0.382	2	1.93	1.99	0.197	0.276	0.0876	0.0511
TCGA.2G.AAFZ.01A	0.85	0.62	0.422	2	2.02	2.02	0.21	0.41	0	0.228
TCGA.2G.AAG0.01A	0.48	0.682	0.052	2	2.14	2.07	0.467	0.215	0	0.00789
TCGA.2G.AAG3.01A	0.67	0.736	0.0761	2	2.32	2.22	0.405	0.33	0	0
TCGA.2G.AAG5.01A	0.81	0.601	0.866	4	4.3	4.24	0.2	0.401	0	0
TCGA.2G.AAG6.01A	0.86	0.366	0.148	4	3.97	3.97	0.119	0.247	0	0
TCGA.2G.AAG7.01A	0.86	0.865	0.227	2	2.48	2.42	0.594	0.271	0.00602	0.0823
TCGA.2G.AAG8.01A	0.56	0.285	0.435	4	4.12	4.07	0.103	0.182	0	0
TCGA.2G.AAG9.01A	0.63	0.42	0.0602	2	2.01	2	0.187	0.233	0	0
TCGA.2G.AAGA.01A	0.75	0.472	0.0443	2	1.85	1.89	0.0537	0.418	0.00149	0.00597
TCGA.2G.AAGC.01A	0.72	0.395	0.116	2	2.01	2.01	0.173	0.222	0.00629	0.00472
TCGA.2G.AAGE.01A	0.79	0.821	0.41	2	2.4	2.31	0.55	0.271	0	0.223
TCGA.2G.AAGF.01A	0.86	0.476	0.344	4	4.07	4.06	0.245	0.23	0	0
TCGA.2G.AAGG.01A	0.71	0.825	0.324	2	2.28	2.2	0.535	0.29	0	0.223
TCGA.2G.AAGI.01A	0.85	0.434	0.0932	2	2.06	2.05	0.204	0.23	0.0129	0.00551
TCGA.2G.AAGJ.01A	0.5	0.517	0.109	2	2.07	2.03	0.302	0.215	0	0.0404
TCGA.2G.AAGK.01A	0.58	0.373	0.172	2	2.1	2.06	0.234	0.139	0	0.00693
TCGA.2G.AAGM.01A	0.99	0.584	0.0531	4	4.07	4.07	0.246	0.338	0	0
TCGA.2G.AAGN.01A	0.59	0.535	0.0365	2	2.02	2.01	0.281	0.254	0	0
TCGA.2G.AAGO.01A	0.78	0.735	0.566	4	3.54	3.64	0.0486	0.687	0	0
TCGA.2G.AAGP.01A	0.41	0.592	0.174	2	2.05	2.02	0.299	0.293	0	0.0621
TCGA.2G.AAGS.01A	0.86	0.5	0.134	2	1.93	1.94	0.146	0.354	0.0111	0
TCGA.2G.AAGT.01A	0.84	0.539	0.246	2	2.05	2.04	0.187	0.352	0	0.106
TCGA.2G.AAGV.01A	0.87	0.518	0.0968	2	1.76	1.79	0.0334	0.484	0.0384	0
TCGA.2G.AAGW.01A	0.88	0.603	0.204	2	2.02	2.02	0.209	0.394	0.00169	0.0828
TCGA.2G.AAGX.01A	0.93	0.332	0.178	2	1.86	1.87	0.0253	0.307	0.0438	0
TCGA.2G.AAGY.01A	0.92	0.782	0.307	4	3.14	3.21	0.0468	0.735	0	0
