sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.3G.AB0O.01A	0.07	0.176	0.977	2	2.04	2	0.118	0.0581	0.116	0.0862
TCGA.3G.AB0T.01A	0.63	0.0937	0	2	2	2	0.0238	0.0699	0	0
TCGA.3G.AB14.01A	0.26	0.115	0.037	2	1.88	1.97	0.017	0.0976	0.00283	0
TCGA.3G.AB19.01A	0.81	0.0582	0	2	1.99	1.99	0.0337	0.0245	0	0
TCGA.3Q.A9WF.01A	0.73	0.473	0	2	2	2	0.231	0.243	0	0
TCGA.3S.A8YW.01A	0.88	0.754	0.589	6	5.43	5.5	0.174	0.58	0	0
TCGA.3S.AAYX.01A	0.91	0.0782	0	2	2	2	0.0248	0.0534	0	0
TCGA.3T.AA9L.01A	0.14	0.0312	0.444	2	2	2	0.0173	0.0139	0.00347	0.00693
TCGA.4V.A9QI.01A	0.12	0.112	0.69	2	1.99	2	0.0363	0.0758	0.0363	0.0269
TCGA.4V.A9QJ.01A	0.11	0.143	0.88	2	2.04	2	0.0894	0.0532	0.0722	0.0361
TCGA.4V.A9QL.01A	0.15	0.0325	0.421	2	1.99	2	0.012	0.0205	0.00685	0
TCGA.4V.A9QM.01A	0.99	0.046	0	2	2	2	0.0129	0.0331	0	0
TCGA.4V.A9QN.01A	0.86	0.364	0.389	2	1.87	1.88	0.128	0.236	0.142	0
TCGA.4V.A9QQ.01A	0.11	0.0966	0.755	2	2	2	0.0493	0.0473	0.0217	0.0414
TCGA.4V.A9QR.01A	0.39	0.544	0.822	4	3.75	3.9	0.133	0.411	0	0
TCGA.4V.A9QS.01A	0.13	0.264	0.716	2	1.99	2	0.0804	0.184	0.112	0.0321
TCGA.4V.A9QT.01A	0.99	0.13	0	2	2	2	0.0714	0.0587	0	0
TCGA.4V.A9QU.01A	0.68	0.0643	0	2	2	2	0.0291	0.0352	0	0
TCGA.4V.A9QW.01A	0.16	0.0271	0.278	2	1.99	2	0.00452	0.0226	0.00452	0.00151
TCGA.4V.A9QX.01A	0.13	0.102	0.733	2	1.97	2	0.0256	0.0768	0.0375	0.029
TCGA.4X.A9F9.01A	0.15	0.0108	0.333	2	2	2	0	0.0108	0.00358	0
TCGA.4X.A9FA.01A	0.11	0.0486	0.76	2	1.99	2	0.0156	0.0331	0.0272	0.00195
TCGA.4X.A9FB.01A	0.82	0.0412	0	2	2	2	0.0179	0.0233	0	0
TCGA.4X.A9FC.01A	0.84	0.0473	0	2	2	2	0.0287	0.0186	0	0
TCGA.4X.A9FD.01A	0.13	0.282	0.818	2	2.09	2.01	0.189	0.0922	0.0495	0.159
TCGA.5G.A9ZZ.01A	0.2	0.212	0.248	2	2.03	2.01	0.144	0.0675	0.0188	0.00375
TCGA.5K.AAAP.01A	0.11	0.26	0.885	2	2.01	2	0.163	0.0967	0.157	0.0217
TCGA.5U.AB0D.01A	0.84	0.489	0.23	4	3.79	3.82	0.188	0.3	0	0
TCGA.5U.AB0E.01A	0.39	0.701	0.44	4	3.49	3.8	0.0757	0.625	0	0.00194
TCGA.5U.AB0F.01A	0.19	0.138	0.27	2	1.95	1.99	0.0446	0.0929	0.0223	0.00186
TCGA.5V.A9RR.01A	0.63	0.00336	0	2	2	2	0.00168	0.00168	0	0
TCGA.X7.A8D6.01A	0.09	0.205	0.928	2	1.99	2	0.107	0.098	0.131	0.0296
TCGA.X7.A8D7.01A	0.72	0.243	0	2	2	2	0.113	0.129	0	0
TCGA.X7.A8D8.01A	0.28	0.00182	0	2	2	2	0.00182	0	0	0
TCGA.X7.A8D9.01A	0.14	0.251	0.561	2	1.96	1.99	0.131	0.12	0.0797	0.0339
TCGA.X7.A8DB.01A	0.07	0.409	0.977	2	2.07	2	0.265	0.144	0.225	0.208
TCGA.X7.A8DC.01A	0.66	0.207	0	2	2	2	0.0987	0.108	0	0
TCGA.X7.A8DD.01A	0.99	0.085	0	2	2	2	0.0277	0.0573	0	0
TCGA.X7.A8DE.01A	0.99	0.0645	0	2	2	2	0.0323	0.0323	0	0
TCGA.X7.A8DF.01A	0.12	0.112	0.828	2	1.98	2	0.0464	0.0658	0.0716	0.00774
TCGA.X7.A8DG.01A	0.99	0.117	0	2	2	2	0.05	0.0667	0	0
TCGA.X7.A8DI.01A	0.1	0.0514	0.778	2	1.99	2	0.019	0.0324	0.0152	0.00952
TCGA.X7.A8DJ.01A	0.98	0.154	0	2	2	2	0.0618	0.0918	0	0
TCGA.X7.A8M0.01A	0.21	0.177	0.144	2	1.96	1.99	0.0629	0.114	0.0138	0.00196
TCGA.X7.A8M1.01A	0.89	0.334	0	2	1.99	1.99	0.152	0.182	0	0
TCGA.X7.A8M3.01A	0.88	0.788	0.393	2	1.24	1.33	0.00972	0.778	0.31	0
TCGA.X7.A8M4.01A	0.99	0.0854	0	2	2	2	0.0369	0.0485	0	0
TCGA.X7.A8M5.01A	0.1	0.229	0.919	2	2.04	2	0.143	0.0855	0.134	0.0353
TCGA.X7.A8M6.01A	0.13	0.048	0.68	2	2.01	2	0.0345	0.0134	0.0154	0.0096
