sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.RZ.AB0B.01A	0.92	0.342	0.227	2	1.99	1.99	0.0638	0.278	0.0467	0
TCGA.V3.A9ZX.01A	0.84	0.203	0.123	2	1.97	1.97	0.0441	0.159	0.00882	0
TCGA.V3.A9ZY.01A	0.55	0.145	0.316	2	2.11	2.06	0.0917	0.0532	0	0
TCGA.V4.A9E5.01A	0.24	0.436	0.356	2	3.02	2.25	0.303	0.133	0.0131	0
TCGA.V4.A9E7.01A	0.9	0.185	0.442	2	2.05	2.05	0.0839	0.101	0.0504	0
TCGA.V4.A9E8.01A	0.9	0.374	0.74	4	4.27	4.24	0.261	0.113	0	0
TCGA.V4.A9E9.01A	0.99	0.248	0.0469	2	2.13	2.13	0.186	0.062	0	0
TCGA.V4.A9EA.01A	0.87	0.355	0.132	2	2.06	2.05	0.22	0.135	0	0.00563
TCGA.V4.A9EC.01A	0.11	0.125	0.886	2	2.03	2	0.0536	0.0714	0.0714	0.00893
TCGA.V4.A9ED.01A	0.97	0.131	0.292	2	1.93	1.93	0.0402	0.0905	0.0382	0
TCGA.V4.A9EE.01A	0.9	0.245	0.0221	2	1.97	1.97	0.0811	0.164	0.0036	0
TCGA.V4.A9EF.01A	0.91	0.536	0.0752	2	1.98	1.98	0.25	0.286	0.0403	0
TCGA.V4.A9EH.01A	0.99	0.12	0.156	2	2.07	2.07	0.0563	0.0638	0	0
TCGA.V4.A9EI.01A	0.95	0.411	0.315	4	4.13	4.13	0.143	0.268	0	0
TCGA.V4.A9EJ.01A	0.94	0.243	0.121	2	2.06	2.06	0.112	0.131	0	0.0294
TCGA.V4.A9EK.01A	0.93	0.46	0.00877	2	2.21	2.19	0.319	0.141	0	0
TCGA.V4.A9EL.01A	0.84	0.307	0.291	2	1.97	1.97	0.11	0.197	0.0611	0
TCGA.V4.A9EM.01A	0.24	0.33	0.451	2	2.83	2.2	0.222	0.108	0.012	0
TCGA.V4.A9EO.01A	0.95	0.205	0.389	4	3.88	3.89	0.0536	0.151	0	0
TCGA.V4.A9EQ.01A	0.8	0.373	0.146	2	2.04	2.03	0.19	0.183	0.0155	0
TCGA.V4.A9ES.01A	0.56	0.143	0.0909	2	1.93	1.96	0.0374	0.106	0	0
TCGA.V4.A9ET.01A	0.94	0.197	0.0099	2	2.16	2.15	0.154	0.0429	0	0
TCGA.V4.A9EU.01A	0.94	0.288	0.182	2	2.06	2.05	0.137	0.152	0.0168	0
TCGA.V4.A9EV.01A	0.74	0.268	0.0493	2	2.02	2.02	0.127	0.142	0.0132	0
