Gene	Cancer	CountGreaterThan1TPM	FractionGreaterThan1TPM	SpearmanCorrelationWithCYT	SpearmanPvalue
MAGEA1	BLCA	68	0.27	-0.08	1.9E-01
MAGEA2	BLCA	82	0.33	0.03	6.1E-01
MAGEA3	BLCA	121	0.48	0.03	6.8E-01
MAGEA4	BLCA	106	0.42	-0.03	6.6E-01
MAGEA5	BLCA	11	0.04	-0.25	5.6E-05
MAGEA6	BLCA	123	0.49	0.03	6.8E-01
MAGEA10	BLCA	78	0.31	-0.15	1.4E-02
MAGEB1	BLCA	9	0.04	0.06	3.8E-01
MAGEB2	BLCA	34	0.14	0.09	1.5E-01
MAGEB6	BLCA	7	0.03	-0.05	4.1E-01
GAGE1	BLCA	23	0.09	0.01	9.2E-01
SSX3	BLCA	7	0.03	-0.03	6.6E-01
MAGEC1	BLCA	27	0.11	-0.02	7.5E-01
BRDT	BLCA	14	0.06	-0.04	4.9E-01
SPANXC	BLCA	29	0.12	0.12	6.8E-02
SPANXN3	BLCA	2	0.01	0.07	2.9E-01
XAGE2	BLCA	23	0.09	0.05	4.5E-01
ADAM2	BLCA	7	0.03	-0.05	4.4E-01
PAGE1	BLCA	16	0.06	-0.01	9.3E-01
CSAG2	BLCA	99	0.40	0.12	6.0E-02
DDX53	BLCA	10	0.04	0.08	2.1E-01
LUZP4	BLCA	2	0.01	0.16	1.0E-02
TFDP3	BLCA	1	0.00	0.15	1.4E-02
FMR1NB	BLCA	3	0.01	0.02	7.9E-01
FTHL17	BLCA	26	0.10	0.00	9.6E-01
CT45A1	BLCA	34	0.14	0.12	6.3E-02
CT47A1	BLCA	3	0.01	0.03	6.9E-01
CT47A7	BLCA	1	0.00	-0.02	7.9E-01
SLCO6A1	BLCA	9	0.04	-0.15	2.0E-02
PASD1	BLCA	7	0.03	-0.06	3.2E-01
PRSS54	BLCA	2	0.01	-0.17	6.3E-03
TSSK6	BLCA	204	0.82	-0.13	3.9E-02
TSPY3	BLCA	9	0.04	-0.06	3.3E-01
CAGE1	BLCA	2	0.01	0.17	8.0E-03
DPPA2	BLCA	27	0.11	0.06	3.5E-01
ODF4	BLCA	18	0.07	-0.20	1.5E-03
CCDC83	BLCA	1	0.00	-0.02	7.3E-01
MAGEA9B	BLCA	130	0.52	-0.09	1.5E-01
SSX5	BLCA	8	0.03	-0.02	8.1E-01
TSPY2	BLCA	10	0.04	-0.07	2.6E-01
CTAG1	BLCA	70	0.28	0.05	4.3E-01
MAGEA1	BRCA	140	0.14	0.02	5.8E-01
MAGEA2	BRCA	90	0.09	0.10	1.3E-03
MAGEA3	BRCA	147	0.14	0.09	3.3E-03
MAGEA4	BRCA	88	0.08	0.16	1.0E-07
MAGEA5	BRCA	7	0.01	0.13	1.9E-05
MAGEA6	BRCA	154	0.15	0.10	7.6E-04
MAGEA10	BRCA	32	0.03	0.08	7.9E-03
MAGEB1	BRCA	60	0.06	0.08	1.2E-02
MAGEB2	BRCA	30	0.03	0.12	9.8E-05
MAGEB6	BRCA	5	0.00	0.03	2.7E-01
MAGEB3	BRCA	2	0.00	0.03	4.0E-01
GAGE1	BRCA	25	0.02	0.00	9.4E-01
SSX3	BRCA	6	0.01	0.03	3.8E-01
MAGEC1	BRCA	43	0.04	0.02	4.9E-01
BRDT	BRCA	66	0.06	-0.06	5.6E-02
SPANXC	BRCA	34	0.03	-0.08	1.6E-02
SPANXN5	BRCA	3	0.00	0.00	9.0E-01
XAGE2	BRCA	46	0.04	0.11	3.3E-04
ADAM2	BRCA	25	0.02	-0.06	5.2E-02
PAGE1	BRCA	9	0.01	0.01	7.3E-01
PAGE3	BRCA	2	0.00	0.01	8.3E-01
CSAG2	BRCA	108	0.10	0.25	1.2E-15
DDX53	BRCA	12	0.01	-0.01	6.6E-01
TFDP3	BRCA	251	0.24	-0.01	8.4E-01
SPO11	BRCA	1	0.00	0.00	9.0E-01
FMR1NB	BRCA	19	0.02	0.05	9.6E-02
FTHL17	BRCA	25	0.02	0.04	1.9E-01
CT45A1	BRCA	44	0.04	0.04	1.7E-01
CT47A6	BRCA	1	0.00	0.05	1.1E-01
CT47A7	BRCA	1	0.00	0.05	1.1E-01
SLCO6A1	BRCA	4	0.00	0.04	1.7E-01
PASD1	BRCA	4	0.00	0.03	3.2E-01
PRSS54	BRCA	1	0.00	0.00	9.7E-01
TSSK6	BRCA	824	0.80	-0.06	4.0E-02
CALR3	BRCA	2	0.00	0.00	9.1E-01
CAGE1	BRCA	4	0.00	0.08	7.1E-03
DPPA2	BRCA	9	0.01	0.05	1.4E-01
POTED	BRCA	8	0.01	-0.12	1.7E-04
POTEB	BRCA	1	0.00	-0.09	5.1E-03
FAM46D	BRCA	3	0.00	0.03	3.1E-01
ODF4	BRCA	2	0.00	-0.05	1.0E-01
CCDC83	BRCA	21	0.02	-0.16	1.5E-07
TMPRSS12	BRCA	2	0.00	0.06	7.2E-02
MAGEA9B	BRCA	59	0.06	0.05	1.5E-01
SSX5	BRCA	2	0.00	-0.03	2.9E-01
CTAG1	BRCA	59	0.06	0.12	2.0E-04
MAGEA1	CESC	28	0.14	-0.07	3.6E-01
MAGEA2	CESC	15	0.08	0.12	9.3E-02
MAGEA3	CESC	34	0.17	0.02	7.6E-01
MAGEA4	CESC	48	0.24	0.21	3.1E-03
MAGEA5	CESC	6	0.03	-0.05	5.2E-01
MAGEA6	CESC	33	0.17	0.08	2.6E-01
MAGEA10	CESC	14	0.07	-0.02	7.8E-01
MAGEB1	CESC	1	0.01	-0.15	3.9E-02
MAGEB2	CESC	7	0.04	0.06	3.9E-01
MAGEB6	CESC	1	0.01	-0.08	2.5E-01
GAGE1	CESC	5	0.03	-0.04	5.5E-01
MAGEC1	CESC	3	0.02	-0.04	6.1E-01
BRDT	CESC	4	0.02	0.01	9.0E-01
SPANXC	CESC	8	0.04	0.01	8.7E-01
SPANXN5	CESC	2	0.01	-0.02	7.3E-01
XAGE2	CESC	5	0.03	-0.01	8.7E-01
ADAM2	CESC	1	0.01	-0.11	1.1E-01
PAGE1	CESC	7	0.04	-0.03	6.5E-01
CSAG2	CESC	46	0.23	0.21	3.5E-03
DDX53	CESC	2	0.01	0.08	2.5E-01
TFDP3	CESC	2	0.01	-0.12	9.5E-02
FMR1NB	CESC	1	0.01	0.15	3.8E-02
FTHL17	CESC	3	0.02	0.06	4.2E-01
CT45A1	CESC	13	0.07	-0.07	3.1E-01
SLCO6A1	CESC	3	0.02	0.04	6.0E-01
PASD1	CESC	3	0.02	-0.07	3.1E-01
TSSK6	CESC	153	0.78	-0.06	3.7E-01
CAGE1	CESC	4	0.02	0.10	1.6E-01
DPPA2	CESC	3	0.02	-0.11	1.4E-01
ODF4	CESC	2	0.01	0.02	8.3E-01
MAGEA9B	CESC	11	0.06	-0.05	5.2E-01
SSX5	CESC	2	0.01	-0.09	2.2E-01
CTAG1	CESC	6	0.03	-0.01	8.7E-01
MAGEA1	CRC	22	0.04	0.03	4.9E-01
MAGEA2	CRC	94	0.16	0.00	9.3E-01
MAGEA3	CRC	115	0.19	0.00	9.8E-01
MAGEA4	CRC	56	0.09	-0.08	6.6E-02
MAGEA5	CRC	15	0.03	-0.04	2.9E-01
MAGEA6	CRC	115	0.19	0.03	4.7E-01
MAGEA10	CRC	14	0.02	-0.02	6.7E-01
MAGEB1	CRC	7	0.01	-0.04	3.0E-01
MAGEB2	CRC	33	0.06	0.04	2.8E-01
MAGEB6	CRC	7	0.01	-0.01	7.6E-01
GAGE1	CRC	11	0.02	0.00	9.7E-01
SSX3	CRC	1	0.00	-0.02	6.4E-01
MAGEC1	CRC	11	0.02	-0.04	3.9E-01
BRDT	CRC	1	0.00	0.00	9.1E-01
SPANXC	CRC	8	0.01	0.00	9.5E-01
SPANXN2	CRC	1	0.00	0.06	1.8E-01
SPANXN3	CRC	1	0.00	-0.02	6.9E-01
XAGE2	CRC	36	0.06	-0.13	2.3E-03
PAGE1	CRC	26	0.04	-0.05	2.0E-01
CSAG2	CRC	62	0.10	0.01	7.3E-01
DDX53	CRC	14	0.02	0.00	1.0E+00
LUZP4	CRC	1	0.00	0.07	1.1E-01
TFDP3	CRC	1	0.00	0.01	8.1E-01
FMR1NB	CRC	1	0.00	-0.01	7.9E-01
FTHL17	CRC	1	0.00	-0.07	7.3E-02
CT45A1	CRC	21	0.04	-0.04	3.9E-01
CT47A1	CRC	3	0.01	-0.02	6.4E-01
CT47A6	CRC	2	0.00	-0.02	5.5E-01
CT47A7	CRC	1	0.00	0.00	9.7E-01
PASD1	CRC	2	0.00	0.03	5.2E-01
PRSS54	CRC	1	0.00	-0.04	3.5E-01
TSSK6	CRC	537	0.91	-0.19	3.8E-06
CPXCR1	CRC	1	0.00	0.03	4.1E-01
CAGE1	CRC	1	0.00	-0.03	5.2E-01
DPPA2	CRC	3	0.01	-0.11	1.0E-02
POTED	CRC	1	0.00	-0.04	3.3E-01
ODF3	CRC	1	0.00	-0.07	1.1E-01
CCDC83	CRC	4	0.01	0.05	2.6E-01
TMPRSS12	CRC	1	0.00	0.01	8.4E-01
DNAJB8	CRC	1	0.00	-0.18	1.1E-05
MAGEA9B	CRC	50	0.08	-0.04	3.8E-01
SSX5	CRC	4	0.01	-0.05	2.7E-01
SSX7	CRC	3	0.01	-0.12	2.8E-03
TSPY2	CRC	2	0.00	0.02	6.4E-01
CTAG1	CRC	20	0.03	0.06	1.7E-01
MAGEA1	GBM	2	0.01	-0.06	4.3E-01
